"cv_0","pa","lon","lat","bio10_SA","bio13_SA","bio15_SA","bio2_SA","bio3_SA"
5,0,-40.3958333333333,-15.7291666666667,24.1899998982747,145,53.6115678161273,10.2339998881022,68.5924921968518
7,0,-47.2291666666667,-22.0625,23.7206665674845,241,75.4680450781185,12.8566668828328,62.5081018419774
8,0,-60.5625,-23.9791666666667,27.6279996236165,101,60.196595795755,13.3639997641246,53.4560010956828
4,0,-65.8125,-33.4375,23.0193333625793,82,60.1664371456964,15.8086666564147,51.4739088808276
2,0,-42.3125,-15.9375,23.6546665827433,186,91.4555972122915,12.1646667321523,69.5759966389761
9,0,-45.1041666666667,-16.1458333333333,24.9420000712077,214,92.9658361209132,14.3433330059052,67.3143074238092
7,0,-65.3125,-24.9791666666667,19.886666615804,135,104.820062158842,12.2139996886253,54.3327393585477
9,0,-42.2291666666667,-8.97916666666666,28.0180002848307,137,90.9007080662645,13.5696663856506,82.3801984281743
10,0,-54.6458333333333,-10.0625,26.9313329060872,361,74.0376971958245,12.7303333282471,80.5921354106481
7,0,-69.5208333333333,-23.7708333333333,18.2380002339681,1,33.3642404640653,15.0160000324249,66.3250860797401
4,0,-58.4375,-15.1875,25.206000328064,284,72.5715924412797,13.7203333377838,74.7131979597895
8,0,-52.3125,-19.1458333333333,24.6386664708455,283,69.5348360842428,12.455667257309,66.4940550384899
8,0,-50.1041666666667,-26.6875,21.257333278656,163,18.8595258672822,11.136666615804,55.516780249859
6,0,-51.5208333333333,-29.6458333333333,23.6386664708455,154,14.3792327290449,9.84799965222677,51.2596304175926
9,0,-51.3541666666667,-8.02083333333333,25.6526667277018,280,67.4159601280945,13.1506660779317,88.3781372287001
1,0,-55.4791666666667,-10.5625,27.0573333104451,339,75.0688370999945,12.9633331298828,80.4975972192316
4,0,-47.0625,-8.68749999999999,26.0560000737508,242,80.3885648762761,13.5496668815613,82.9232874748727
1,0,-51.4375,-20.5208333333333,25.5306666692098,215,64.8938989302896,12.2000000476837,62.0296894390904
6,0,-61.7708333333333,-11.0625,25.0080000559489,382,72.9852337043482,13.5003329118093,81.8202041945913
7,0,-47.6875,-6.77083333333333,25.6826667785645,286,72.1707204831061,12.2410000165304,83.0461343731877
5,0,-50.8541666666667,-4.02083333333333,26.1126670837402,365,78.2791768899139,10.4993332227071,88.1112193692027
9,0,-70.3541666666667,-30.8958333333333,4.51933328962574,36,71.8971207051403,9.71166660186524,50.1739338120532
2,0,-56.2708333333333,-5.39583333333333,27.2280000050863,362,55.4265246933961,10.2406663894653,87.6769502928221
9,0,-58.6875,-12.5625,25.4046669006348,344,77.3595519433708,14.5266671180725,75.801847253673
7,0,-59.7291666666667,-21.9375,28.6479994455973,90,55.5869244924905,13.343666156133,58.4325884461638
3,0,-59.2291666666667,-8.06249999999999,26.3393325805664,311,65.2230185718202,11.1606664657593,87.5758546775093
8,0,-65.8541666666667,-21.9791666666667,14.3520001570384,73,117.433051910412,17.5860001233717,63.6620321954304
6,0,-49.9791666666667,-3.81249999999999,26.7733332316081,408,78.7828322336262,10.8069996833801,88.3502237844434
7,0,-69.4375,-17.6041666666667,9.88400000830491,98,123.213002846018,21.9023332272967,77.6348112151849
3,0,-44.1875,-21.6875,20.6873332659403,296,79.4991516342371,11.6933336257935,60.4994494218325
5,0,-52.5208333333333,-30.6875,22.3766667048136,145,13.0252721489225,9.45733352502187,44.9493028889434
9,0,-69.1458333333333,-22.8958333333333,17.1120001475016,4,82.241330021081,15.691666940848,63.880749531451
3,0,-67.9791666666667,-21.1041666666667,11.0573333203793,29,160.754006037906,19.4143331820766,63.720406745575
6,0,-49.9375,-6.64583333333333,26.1560001373291,283,59.2576444499285,13.0686672528585,84.4010892809549
7,0,-50.7291666666667,-13.0625,27.2600002288818,294,85.203476653569,13.217333316803,74.6067520308104
1,0,-57.0208333333333,-6.81249999999999,26.4726667404175,335,62.1263142691512,10.7479998270671,85.3015962592549
10,0,-60.3125,-23.3541666666667,27.9093335469564,86,55.8089612860509,13.4036667346954,54.4510323361285
2,0,-50.1875,-4.56249999999999,26.3806664148966,358,75.7520339660176,11.0703333218892,87.9994705010136
